Airport,DelayTime
Airport05,11
Airport11,53
Airport05,11
Airport04,5
Airport18,20
Airport17,6
Airport14,15
Airport10,5
Airport05,4.5
Airport06,10
Airport07,4
Airport08,10
Airport05,7
Airport06,9
Airport08,8
Airport08,9
Airport10,5
Airport10,4
Airport08,15
Airport05,110
Airport04,4.5
Airport07,10
Airport15,6
Airport08,21
Airport05,6
Airport05,8
Airport10,5
Airport05,3.333333333
Airport10,7
Airport07,20
Airport17,1
Airport08,4.5
Airport08,7
Airport15,10
Airport05,7
Airport05,12.5
Airport10,4.333333333
Airport05,5
Airport06,2
Airport08,3.5
Airport17,10
Airport04,10
Airport11,5
Airport17,10
Airport08,6
Airport05,5
Airport05,12
Airport07,5
Airport06,7.5
Airport08,20
Airport05,40
Airport01,10
Airport10,7
Airport08,10
Airport20,5
Airport06,14
Airport05,6
Airport19,5
Airport17,1
Airport17,35
Airport05,15
Airport19,4
Airport08,47
Airport14,20
Airport05,5
Airport08,10
Airport17,6
Airport11,10
Airport17,10
Airport05,9
Airport05,13
Airport08,3
Airport04,8.5
Airport08,15
Airport05,5
Airport06,15
Airport05,5
Airport16,10
Airport10,4.5
Airport05,12.5
Airport19,5.5
Airport05,6
Airport17,17
Airport10,11.5
Airport08,10
Airport05,32
Airport05,8
Airport06,11
Airport06,30
Airport20,20
Airport17,69
Airport05,51
Airport13,20
Airport05,10
Airport05,24
Airport03,26
Airport10,5
Airport08,8
Airport10,29
Airport05,8
Airport04,66
Airport17,5
Airport05,10
Airport08,15
Airport08,28
Airport11,10
Airport10,10
Airport06,15
Airport05,5
Airport10,5
Airport04,6.5
Airport05,5
Airport06,9
Airport08,56
Airport05,3.333333333
Airport08,1
Airport05,7.5
Airport17,17.5
Airport08,4
Airport05,5.5
Airport10,25
Airport06,15
Airport17,5
Airport03,9
Airport07,4
Airport19,7
Airport11,5
Airport06,10
Airport14,8
Airport10,32.5
Airport03,20
Airport05,5
Airport15,19
Airport14,12
Airport18,15
Airport08,17
Airport11,45
Airport10,2.5
Airport14,6
Airport15,10
Airport03,29
Airport06,12
Airport06,57
Airport08,9
Airport08,11
Airport14,10
Airport08,10
Airport08,10
Airport08,6.5
Airport10,6
Airport17,4.5
Airport09,10
Airport05,88
Airport19,9
Airport17,11
Airport08,90
Airport05,5
Airport15,15
Airport08,9
Airport05,5
Airport05,6.666666667
Airport05,10
Airport08,5
Airport17,12
Airport05,25
Airport05,10
Airport05,12
Airport10,5
Airport20,36
Airport03,55
Airport05,5
Airport05,5
Airport06,15
Airport18,6
Airport08,20
Airport08,19
Airport14,10
Airport17,5
Airport04,7
Airport08,6
Airport05,4.666666667
Airport10,3
Airport17,5
Airport15,41
Airport08,25
Airport08,5
Airport05,38
Airport04,114
Airport17,3
Airport20,95
Airport17,25
Airport20,37
Airport20,23
Airport08,13
Airport05,250
Airport08,11
Airport08,10
Airport10,2
Airport08,4
Airport08,65
Airport05,19
Airport06,32
Airport01,10
Airport06,7.5
Airport17,50
Airport08,4
Airport15,10
Airport08,8
Airport15,19
Airport19,125
Airport09,5
Airport06,10
Airport06,160
Airport18,15
Airport08,5
Airport11,5
Airport19,403
Airport20,162
Airport20,40
Airport14,25
Airport05,10
Airport08,10
Airport05,25
Airport10,5
Airport05,15
Airport05,9
Airport08,6.5
Airport10,139
Airport03,18
Airport08,5
Airport08,25
Airport08,20
Airport08,34
Airport12,12
Airport05,9
Airport05,47
Airport06,8
Airport04,10
Airport16,77
Airport11,45
Airport20,125
Airport08,3
Airport15,15
Airport18,85
Airport06,2
Airport06,30
Airport05,8
Airport11,45
Airport08,2.5
Airport03,5
Airport05,8
Airport08,141
Airport06,36
Airport08,5
Airport10,10
Airport05,4
Airport05,9
Airport10,4
Airport15,30
Airport10,4
Airport08,7.5
Airport05,7
Airport13,15
Airport05,44
Airport03,15
Airport06,18
Airport05,9
Airport17,2
Airport05,7
Airport17,100
Airport10,18.5
Airport05,10
Airport05,20
Airport05,7
Airport19,4.5
Airport05,48
Airport08,17.5
Airport08,12
Airport08,16.5
Airport10,4
Airport05,15
Airport08,3
Airport05,6.666666667
Airport15,13
Airport06,1
Airport06,13
Airport17,21
Airport14,29
Airport08,5
Airport17,10
Airport17,35
Airport05,17
Airport05,63
Airport06,7
Airport10,3.5
Airport08,6
Airport08,14
